id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
01-Diagnostic_1F,1,1952.37,0.002,0.002,0.13832,0.002,3.45479e-05,1.42197e-08,1
01-Diagnostic_1F,1,1952.62,0.002,0.002,0.136538,0.002,3.46937e-05,1.43128e-08,1
01-Diagnostic_1F,1,1953.12,0.068,0.0679999,4.52604,0.0679999,0.00116065,1.35394e-08,1
01-Diagnostic_1F,1,1953.37,0.014,0.014,0.927462,0.014,0.000236783,1.36891e-08,1
01-Diagnostic_1F,1,1953.62,0.023,0.0229999,1.52686,0.0229999,0.000387815,2.43178e-08,1
01-Diagnostic_1F,1,1953.87,0.024,0.0239985,1.59866,0.0239985,0.000413139,1.59331e-05,1
01-Diagnostic_1F,1,1954.12,0.175,0.175,11.7206,0.175,0.0030963,2.01658e-08,1
01-Diagnostic_1F,1,1954.37,0.328,0.327999,22.2336,0.327999,0.00593152,1.62132e-08,1
01-Diagnostic_1F,1,1954.62,0.257,0.256998,17.5599,0.256998,0.0048753,3.80572e-07,1
01-Diagnostic_1F,1,1954.87,0.34,0.340011,22.9558,0.340011,0.00740867,4.31915e-06,1
01-Diagnostic_1F,1,1955.12,0.216,0.215999,14.3925,0.215999,0.00523936,3.64466e-08,1
01-Diagnostic_1F,1,1955.37,0.228,0.227999,15.3027,0.227999,0.00564366,3.16187e-08,1
01-Diagnostic_1F,1,1955.62,0.184,0.183999,12.3764,0.183999,0.00473336,5.36386e-08,1
01-Diagnostic_1F,1,1955.87,0.412,0.411999,27.4811,0.411999,0.0114421,1.13958e-08,1
01-Diagnostic_1F,1,1956.12,0.14,0.14,9.26193,0.14,0.00407722,4.74267e-08,1
01-Diagnostic_1F,1,1956.37,0.201,0.200999,13.3264,0.200999,0.00589552,4.53224e-08,1
01-Diagnostic_1F,1,1956.62,0.112,0.112,7.41893,0.112,0.00335188,5.75304e-08,1
01-Diagnostic_1F,1,1956.87,0.255,0.255,16.7029,0.255,0.00810826,6.24867e-09,1
01-Diagnostic_1F,1,1957.12,0.125,0.125,8.07957,0.125,0.00410575,5.31219e-08,1
01-Diagnostic_1F,1,1957.37,0.098,0.0979996,6.31523,0.0979996,0.00317709,5.77282e-08,1
01-Diagnostic_1F,1,1957.62,0.234,0.233999,14.9463,0.233999,0.00750661,9.54222e-08,1
