id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,5,0.000913242,0.00124503,-0.000331788,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,7,0.00651136,0.00207266,0.0044387,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,9,0.000913242,0.00300301,-0.002089768,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,11,0.00540472,0.00335161,0.00205311,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,13,0.00277931,0.00316787,-0.00038856,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,15,0.00464529,0.00316114,0.00148415,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,17,0.0177075,0.00417799,0.01352951,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,19,0.0121094,0.00680364,0.00530576,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,21,0.00803013,0.0112457,-0.00321557,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,23,0.00837733,0.0169173,-0.00853997,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,25,0.0177075,0.0229954,-0.0052879,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,27,0.0195735,0.0283513,-0.0087778,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,29,0.0755542,0.0321484,0.0434058,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,31,0.0195735,0.0341777,-0.0146042,174.437,25.4877,25.4877
01-Diagnostic_1F,1,F01_LL.JP.1,yes,SIZE,1,33,0.0158414,0.0346055,-0.0187641,174.437,25.4877,25.4877
