"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 12287.9 360.778 NA NA
"SSB_Initial" "SSB_Initial" 12287.9 360.778 NA NA
"SSB_1952" "SSB_1952" 20488.6 3748.62 NA NA
"SSB_1953" "SSB_1953" 19583 3071.27 NA NA
"SSB_1954" "SSB_1954" 17984.2 2507.33 NA NA
"SSB_1955" "SSB_1955" 12221.8 1967.23 NA NA
"SSB_1956" "SSB_1956" 10119 1678.66 NA NA
"SSB_1957" "SSB_1957" 8445.68 1442.04 NA NA
"SSB_1958" "SSB_1958" 7165.17 1243.5 NA NA
"SSB_1959" "SSB_1959" 5441.59 1056.23 NA NA
"SSB_1960" "SSB_1960" 5509.71 1146.31 NA NA
"SSB_1961" "SSB_1961" 6003.44 1270.19 NA NA
"SSB_1962" "SSB_1962" 5041.24 1130.14 NA NA
"SSB_1963" "SSB_1963" 4881.44 1017.13 NA NA
"SSB_1964" "SSB_1964" 3913.32 896.161 NA NA
"SSB_1965" "SSB_1965" 3915.48 879.018 NA NA
"SSB_1966" "SSB_1966" 3781.24 795.491 NA NA
"SSB_1967" "SSB_1967" 3155.39 640.219 NA NA
"SSB_1968" "SSB_1968" 2950.71 492.296 NA NA
"SSB_1969" "SSB_1969" 2628.98 350.661 NA NA
"SSB_1970" "SSB_1970" 2429 267.03 NA NA
"SSB_1971" "SSB_1971" 1871.2 192.52 NA NA
"SSB_1972" "SSB_1972" 1801.95 204.943 NA NA
"SSB_1973" "SSB_1973" 2055.07 249.077 NA NA
"SSB_1974" "SSB_1974" 1905.98 259.566 NA NA
"SSB_1975" "SSB_1975" 1907.96 298.941 NA NA
"SSB_1976" "SSB_1976" 2679.95 365.154 NA NA
"SSB_1977" "SSB_1977" 2261.17 345.222 NA NA
"SSB_1978" "SSB_1978" 2287.87 322.64 NA NA
"SSB_1979" "SSB_1979" 2309.43 296.308 NA NA
"SSB_1980" "SSB_1980" 2516.49 304.773 NA NA
"SSB_1981" "SSB_1981" 3398.37 307.15 NA NA
"SSB_1982" "SSB_1982" 2940.27 275.706 NA NA
"SSB_1983" "SSB_1983" 2373.04 261.006 NA NA
"SSB_1984" "SSB_1984" 2225.71 252.045 NA NA
"SSB_1985" "SSB_1985" 2306.13 249.103 NA NA
"SSB_1986" "SSB_1986" 1978.01 228.426 NA NA
"SSB_1987" "SSB_1987" 1543.53 206.239 NA NA
"SSB_1988" "SSB_1988" 1020.49 209.883 NA NA
"SSB_1989" "SSB_1989" 1313.96 273.996 NA NA
"SSB_1990" "SSB_1990" 1747.44 380.461 NA NA
"SSB_1991" "SSB_1991" 1555.81 303.065 NA NA
"SSB_1992" "SSB_1992" 1480.06 312.765 NA NA
"SSB_1993" "SSB_1993" 1739.01 374.361 NA NA
"SSB_1994" "SSB_1994" 1963.67 456.137 NA NA
"SSB_1995" "SSB_1995" 1831.51 414.757 NA NA
"SSB_1996" "SSB_1996" 1965.2 393.689 NA NA
"SSB_1997" "SSB_1997" 1906.57 387.014 NA NA
"SSB_1998" "SSB_1998" 2206.21 384.487 NA NA
"SSB_1999" "SSB_1999" 2724 429.581 NA NA
"SSB_2000" "SSB_2000" 2980.52 460.009 NA NA
"SSB_2001" "SSB_2001" 3537.92 513.27 NA NA
"SSB_2002" "SSB_2002" 3541.65 500.199 NA NA
"SSB_2003" "SSB_2003" 3202.42 429.246 NA NA
"SSB_2004" "SSB_2004" 3090.99 390.935 NA NA
"SSB_2005" "SSB_2005" 2614.4 345.766 NA NA
"SSB_2006" "SSB_2006" 2290.33 340.76 NA NA
"SSB_2007" "SSB_2007" 2142.69 352.037 NA NA
"SSB_2008" "SSB_2008" 2337.59 361.824 NA NA
"SSB_2009" "SSB_2009" 2655.69 397.916 NA NA
"SSB_2010" "SSB_2010" 2461.97 350.66 NA NA
"SSB_2011" "SSB_2011" 2076.31 284.311 NA NA
"SSB_2012" "SSB_2012" 1630.18 237.126 NA NA
"SSB_2013" "SSB_2013" 1224.67 200.8 NA NA
"SSB_2014" "SSB_2014" 1105.71 185.208 NA NA
"SSB_2015" "SSB_2015" 1001.88 166.164 NA NA
"SSB_2016" "SSB_2016" 1023.21 180.184 NA NA
"SSB_2017" "SSB_2017" 1136.81 198.437 NA NA
"SSB_2018" "SSB_2018" 1253.72 215.777 NA NA
"SSB_2019" "SSB_2019" 1149.49 197.288 NA NA
"SSB_2020" "SSB_2020" 943.449 187.089 NA NA
"SSB_2021" "SSB_2021" 878.107 213.418 NA NA
"SSB_2022" "SSB_2022" 1363.91 351.907 NA NA
"SSB_2023" "SSB_2023" 2261.31 612.702 NA NA
"Recr_Virgin" "Recr_Virgin" 180.444 5.03207 NA NA
"Recr_Initial" "Recr_Initial" 180.444 5.03207 NA NA
"Recr_1952" "Recr_1952" 335.761 149.382 NA NA
"Recr_1953" "Recr_1953" 195.637 93.7772 NA NA
"Recr_1954" "Recr_1954" 164.727 71.7478 NA NA
"Recr_1955" "Recr_1955" 157.622 65.1532 NA NA
"Recr_1956" "Recr_1956" 152.151 66.3804 NA NA
"Recr_1957" "Recr_1957" 213.987 89.5494 NA NA
"Recr_1958" "Recr_1958" 283.914 95.1446 NA NA
"Recr_1959" "Recr_1959" 155.399 77.9081 NA NA
"Recr_1960" "Recr_1960" 265.26 92.6952 NA NA
"Recr_1961" "Recr_1961" 151.391 67.9959 NA NA
"Recr_1962" "Recr_1962" 129.153 55.955 NA NA
"Recr_1963" "Recr_1963" 162.428 63.4946 NA NA
"Recr_1964" "Recr_1964" 134.634 56.2387 NA NA
"Recr_1965" "Recr_1965" 106.237 40.6583 NA NA
"Recr_1966" "Recr_1966" 79.6486 29.7848 NA NA
"Recr_1967" "Recr_1967" 70.4101 23.6819 NA NA
"Recr_1968" "Recr_1968" 125.475 20.3461 NA NA
"Recr_1969" "Recr_1969" 153.662 16.3784 NA NA
"Recr_1970" "Recr_1970" 164.567 18.6812 NA NA
"Recr_1971" "Recr_1971" 151.761 19.1334 NA NA
"Recr_1972" "Recr_1972" 56.9174 15.9541 NA NA
"Recr_1973" "Recr_1973" 234.167 30.2096 NA NA
"Recr_1974" "Recr_1974" 59.0676 20.5653 NA NA
"Recr_1975" "Recr_1975" 52.7036 19.8506 NA NA
"Recr_1976" "Recr_1976" 163.121 31.1123 NA NA
"Recr_1977" "Recr_1977" 113.707 31.6333 NA NA
"Recr_1978" "Recr_1978" 213.552 28.4304 NA NA
"Recr_1979" "Recr_1979" 114.35 24.5035 NA NA
"Recr_1980" "Recr_1980" 193.406 20.2179 NA NA
"Recr_1981" "Recr_1981" 55.5514 15.2386 NA NA
"Recr_1982" "Recr_1982" 163.129 20.4663 NA NA
"Recr_1983" "Recr_1983" 82.8683 17.8732 NA NA
"Recr_1984" "Recr_1984" 94.6428 14.6 NA NA
"Recr_1985" "Recr_1985" 32.1184 9.48259 NA NA
"Recr_1986" "Recr_1986" 78.3568 19.6426 NA NA
"Recr_1987" "Recr_1987" 244.021 44.8741 NA NA
"Recr_1988" "Recr_1988" 84.2283 37.6065 NA NA
"Recr_1989" "Recr_1989" 81.8784 29.4157 NA NA
"Recr_1990" "Recr_1990" 100.961 31.0731 NA NA
"Recr_1991" "Recr_1991" 114.781 39.7253 NA NA
"Recr_1992" "Recr_1992" 146.459 47.1791 NA NA
"Recr_1993" "Recr_1993" 161.493 49.6977 NA NA
"Recr_1994" "Recr_1994" 126.519 41.3321 NA NA
"Recr_1995" "Recr_1995" 95.26 34.1172 NA NA
"Recr_1996" "Recr_1996" 273.621 42.6365 NA NA
"Recr_1997" "Recr_1997" 169.724 37.1415 NA NA
"Recr_1998" "Recr_1998" 230.607 35.5512 NA NA
"Recr_1999" "Recr_1999" 197.564 28.4024 NA NA
"Recr_2000" "Recr_2000" 64.5811 21.0255 NA NA
"Recr_2001" "Recr_2001" 260.447 33.6601 NA NA
"Recr_2002" "Recr_2002" 132.056 30.3093 NA NA
"Recr_2003" "Recr_2003" 118.835 21.4397 NA NA
"Recr_2004" "Recr_2004" 117.385 20.675 NA NA
"Recr_2005" "Recr_2005" 97.0791 21.6336 NA NA
"Recr_2006" "Recr_2006" 196.632 30.3334 NA NA
"Recr_2007" "Recr_2007" 99.3854 25.5352 NA NA
"Recr_2008" "Recr_2008" 98.596 24.162 NA NA
"Recr_2009" "Recr_2009" 100.702 22.4318 NA NA
"Recr_2010" "Recr_2010" 102.822 18.7154 NA NA
"Recr_2011" "Recr_2011" 71.922 15.5244 NA NA
"Recr_2012" "Recr_2012" 84.0375 15.7614 NA NA
"Recr_2013" "Recr_2013" 120.094 16.9823 NA NA
"Recr_2014" "Recr_2014" 87.0015 15.6895 NA NA
"Recr_2015" "Recr_2015" 93.1146 16.8196 NA NA
"Recr_2016" "Recr_2016" 79.0921 16.2208 NA NA
"Recr_2017" "Recr_2017" 84.8597 15.4714 NA NA
"Recr_2018" "Recr_2018" 52.8255 12.457 NA NA
"Recr_2019" "Recr_2019" 109.4 20.6364 NA NA
"Recr_2020" "Recr_2020" 180.212 39.559 NA NA
"Recr_2021" "Recr_2021" 145.626 45.5954 NA NA
"Recr_2022" "Recr_2022" 103.751 57.6364 NA NA
"Recr_2023" "Recr_2023" 141.291 85.5281 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0125873 0.0024681 -400.07 0
"SPRratio_1953" "SPRratio_1953" 0.267577 0.0543041 -13.4874 9.64243e-42
"SPRratio_1954" "SPRratio_1954" 0.859631 0.0694026 -2.02253 0.0215609
"SPRratio_1955" "SPRratio_1955" 0.66799 0.0706242 -4.70109 1.2954e-06
"SPRratio_1956" "SPRratio_1956" 0.656811 0.0732122 -4.6876 1.38374e-06
"SPRratio_1957" "SPRratio_1957" 0.665233 0.0787843 -4.24916 1.0736e-05
"SPRratio_1958" "SPRratio_1958" 0.90131 0.0684804 -1.44115 0.0747718
"SPRratio_1959" "SPRratio_1959" 0.814481 0.0772737 -2.4008 0.00817955
"SPRratio_1960" "SPRratio_1960" 0.794978 0.0790391 -2.59393 0.00474431
"SPRratio_1961" "SPRratio_1961" 0.961542 0.0657516 -0.584901 0.279307
"SPRratio_1962" "SPRratio_1962" 0.914713 0.0680807 -1.25274 0.105151
"SPRratio_1963" "SPRratio_1963" 0.975439 0.0647805 -0.379136 0.352294
"SPRratio_1964" "SPRratio_1964" 0.775549 0.0782403 -2.86874 0.00206062
"SPRratio_1965" "SPRratio_1965" 0.874381 0.0677238 -1.85487 0.0318076
"SPRratio_1966" "SPRratio_1966" 0.951076 0.0587546 -0.832691 0.20251
"SPRratio_1967" "SPRratio_1967" 0.84022 0.0549462 -2.90794 0.00181917
"SPRratio_1968" "SPRratio_1968" 0.804299 0.0468435 -4.17776 1.47285e-05
"SPRratio_1969" "SPRratio_1969" 0.827555 0.0418451 -4.12103 1.88698e-05
"SPRratio_1970" "SPRratio_1970" 1.11077 0.0243525 4.54866 0.999997
"SPRratio_1971" "SPRratio_1971" 1.11852 0.0239929 4.93977 1
"SPRratio_1972" "SPRratio_1972" 1.06917 0.0311612 2.21988 0.986786
"SPRratio_1973" "SPRratio_1973" 1.06078 0.0360471 1.68608 0.95411
"SPRratio_1974" "SPRratio_1974" 1.03077 0.03936 0.781794 0.782832
"SPRratio_1975" "SPRratio_1975" 0.938244 0.0426294 -1.44867 0.0737143
"SPRratio_1976" "SPRratio_1976" 0.946868 0.0428918 -1.23875 0.107719
"SPRratio_1977" "SPRratio_1977" 0.781112 0.0478679 -4.57275 2.40922e-06
"SPRratio_1978" "SPRratio_1978" 1.03178 0.0329775 0.963628 0.832384
"SPRratio_1979" "SPRratio_1979" 0.971247 0.034136 -0.842308 0.199808
"SPRratio_1980" "SPRratio_1980" 0.796617 0.0327753 -6.20538 2.73944e-10
"SPRratio_1981" "SPRratio_1981" 1.03145 0.0241685 1.30124 0.903412
"SPRratio_1982" "SPRratio_1982" 1.05812 0.0256697 2.26413 0.988217
"SPRratio_1983" "SPRratio_1983" 0.937269 0.0327484 -1.91554 0.0277117
"SPRratio_1984" "SPRratio_1984" 0.9763 0.0303783 -0.780156 0.21765
"SPRratio_1985" "SPRratio_1985" 1.01012 0.0296545 0.341401 0.633599
"SPRratio_1986" "SPRratio_1986" 1.0424 0.0332053 1.27681 0.899165
"SPRratio_1987" "SPRratio_1987" 1.09171 0.0404493 2.26729 0.988314
"SPRratio_1988" "SPRratio_1988" 1.12333 0.0395462 3.11865 0.999092
"SPRratio_1989" "SPRratio_1989" 1.13154 0.0367852 3.57595 0.999825
"SPRratio_1990" "SPRratio_1990" 1.06295 0.0413661 1.52187 0.935979
"SPRratio_1991" "SPRratio_1991" 1.02727 0.0491875 0.554326 0.710322
"SPRratio_1992" "SPRratio_1992" 0.9711 0.0574875 -0.502714 0.307583
"SPRratio_1993" "SPRratio_1993" 0.996318 0.0562644 -0.0654465 0.473909
"SPRratio_1994" "SPRratio_1994" 1.12366 0.0389377 3.17577 0.999253
"SPRratio_1995" "SPRratio_1995" 1.06791 0.0414327 1.63914 0.949408
"SPRratio_1996" "SPRratio_1996" 1.04304 0.0440493 0.977149 0.835752
"SPRratio_1997" "SPRratio_1997" 1.03445 0.04254 0.809731 0.790953
"SPRratio_1998" "SPRratio_1998" 1.08475 0.0336631 2.51759 0.994092
"SPRratio_1999" "SPRratio_1999" 1.04278 0.0370285 1.15522 0.876001
"SPRratio_2000" "SPRratio_2000" 0.958188 0.0416705 -1.00339 0.157835
"SPRratio_2001" "SPRratio_2001" 0.927794 0.0410338 -1.75967 0.0392315
"SPRratio_2002" "SPRratio_2002" 0.959961 0.0358751 -1.11608 0.132195
"SPRratio_2003" "SPRratio_2003" 1.05047 0.0292374 1.72613 0.957838
"SPRratio_2004" "SPRratio_2004" 1.05243 0.0310953 1.68616 0.954117
"SPRratio_2005" "SPRratio_2005" 1.01272 0.0377595 0.336934 0.631917
"SPRratio_2006" "SPRratio_2006" 0.98791 0.042718 -0.28301 0.388585
"SPRratio_2007" "SPRratio_2007" 0.945428 0.0434392 -1.2563 0.104505
"SPRratio_2008" "SPRratio_2008" 0.972649 0.040127 -0.68161 0.247743
"SPRratio_2009" "SPRratio_2009" 0.979959 0.0360934 -0.55525 0.289362
"SPRratio_2010" "SPRratio_2010" 1.01588 0.0330375 0.480627 0.684609
"SPRratio_2011" "SPRratio_2011" 1.09705 0.0290439 3.34152 0.999583
"SPRratio_2012" "SPRratio_2012" 1.14451 0.0283007 5.10632 1
"SPRratio_2013" "SPRratio_2013" 1.08075 0.0345543 2.33702 0.990281
"SPRratio_2014" "SPRratio_2014" 1.16891 0.0263516 6.40972 1
"SPRratio_2015" "SPRratio_2015" 1.14788 0.0302827 4.88346 0.999999
"SPRratio_2016" "SPRratio_2016" 1.06681 0.0385989 1.73092 0.958267
"SPRratio_2017" "SPRratio_2017" 1.03954 0.041027 0.963825 0.832433
"SPRratio_2018" "SPRratio_2018" 1.11113 0.0326023 3.40871 0.999674
"SPRratio_2019" "SPRratio_2019" 1.1286 0.0365088 3.52246 0.999786
"SPRratio_2020" "SPRratio_2020" 1.13066 0.0465846 2.80475 0.997482
"SPRratio_2021" "SPRratio_2021" 1.06776 0.0595684 1.13746 0.872327
"SPRratio_2022" "SPRratio_2022" 0.923627 0.0802618 -0.951554 0.170662
"SPRratio_2023" "SPRratio_2023" 0.923627 0.0802618 -0.951554 0.170662
"F_1952" "F_1952" 0.00930225 0.00183881 -538.77 0
"F_1953" "F_1953" 0.10315 0.0245239 -36.5705 4.87846e-293
"F_1954" "F_1954" 0.655467 0.133057 -2.58937 0.00480755
"F_1955" "F_1955" 0.386564 0.0738852 -8.30255 5.15395e-17
"F_1956" "F_1956" 0.36847 0.0725252 -8.70773 1.57075e-18
"F_1957" "F_1957" 0.376315 0.0809328 -7.70621 6.53941e-15
"F_1958" "F_1958" 0.724075 0.14623 -1.88693 0.029585
"F_1959" "F_1959" 0.594923 0.132172 -3.06477 0.00108925
"F_1960" "F_1960" 0.562438 0.128076 -3.41642 0.000317303
"F_1961" "F_1961" 0.878879 0.190816 -0.63475 0.262796
"F_1962" "F_1962" 0.757741 0.156592 -1.54707 0.0609231
"F_1963" "F_1963" 0.902453 0.187975 -0.518934 0.301903
"F_1964" "F_1964" 0.533065 0.116304 -4.01478 2.97647e-05
"F_1965" "F_1965" 0.685663 0.136014 -2.31107 0.0104146
"F_1966" "F_1966" 0.901799 0.173523 -0.565925 0.285722
"F_1967" "F_1967" 0.612904 0.0961772 -4.02483 2.85226e-05
"F_1968" "F_1968" 0.584269 0.0793188 -5.24126 7.98977e-08
"F_1969" "F_1969" 0.65496 0.0821743 -4.19888 1.34202e-05
"F_1970" "F_1970" 1.57084 0.172225 3.31451 0.999541
"F_1971" "F_1971" 1.82231 0.213642 3.849 0.999941
"F_1972" "F_1972" 1.61335 0.211576 2.89897 0.998128
"F_1973" "F_1973" 1.47616 0.205007 2.32263 0.989901
"F_1974" "F_1974" 1.37713 0.207534 1.81721 0.965408
"F_1975" "F_1975" 0.903905 0.124152 -0.77401 0.219462
"F_1976" "F_1976" 0.891247 0.116027 -0.937308 0.1743
"F_1977" "F_1977" 0.559832 0.0737175 -5.97102 1.18304e-09
"F_1978" "F_1978" 1.04309 0.113709 0.378982 0.647649
"F_1979" "F_1979" 0.99216 0.113979 -0.0687841 0.472581
"F_1980" "F_1980" 0.627096 0.0623918 -5.97681 1.14173e-09
"F_1981" "F_1981" 1.15748 0.0970034 1.62341 0.947749
"F_1982" "F_1982" 1.40135 0.136271 2.9452 0.998386
"F_1983" "F_1983" 0.96001 0.103321 -0.387043 0.349362
"F_1984" "F_1984" 1.04051 0.106457 0.380502 0.648214
"F_1985" "F_1985" 1.04298 0.102959 0.417408 0.66181
"F_1986" "F_1986" 1.12357 0.118641 1.04151 0.85118
"F_1987" "F_1987" 1.36096 0.201982 1.78708 0.963038
"F_1988" "F_1988" 1.76718 0.32691 2.34677 0.990531
