"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.0944604 0.57242 "Early_InitAge" 1942
"Early_InitAge_9" -0.0322692 0.590399 "Early_InitAge" 1943
"Early_InitAge_8" -0.0189287 0.593531 "Early_InitAge" 1944
"Early_InitAge_7" 0.0432468 0.608793 "Early_InitAge" 1945
"Early_InitAge_6" 0.199324 0.653041 "Early_InitAge" 1946
"Early_InitAge_5" 0.579426 0.854732 "Early_InitAge" 1947
"Early_InitAge_4" 1.30119 0.514691 "Early_InitAge" 1948
"Early_InitAge_3" 0.134392 0.613283 "Early_InitAge" 1949
"Early_InitAge_2" 0.112244 0.551418 "Early_InitAge" 1950
"Early_InitAge_1" 0.391365 0.57392 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.630819 0.441338 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.0994888 0.477571 "Main_RecrDev" 1953
"Main_RecrDev_1954" -0.0618858 0.433438 "Main_RecrDev" 1954
"Main_RecrDev_1955" -0.0786047 0.411094 "Main_RecrDev" 1955
"Main_RecrDev_1956" -0.0939282 0.433641 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.268876 0.415198 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.574347 0.333396 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.010684 0.496712 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.550816 0.355674 "Main_RecrDev" 1960
"Main_RecrDev_1961" -0.0136938 0.447989 "Main_RecrDev" 1961
"Main_RecrDev_1962" -0.142866 0.429401 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0979669 0.392261 "Main_RecrDev" 1963
"Main_RecrDev_1964" -0.0477386 0.423132 "Main_RecrDev" 1964
"Main_RecrDev_1965" -0.277687 0.386324 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.552577 0.378283 "Main_RecrDev" 1966
"Main_RecrDev_1967" -0.634123 0.337905 "Main_RecrDev" 1967
"Main_RecrDev_1968" -0.0351243 0.158258 "Main_RecrDev" 1968
