id,type,yr,Value,StdDev
01-Diagnostic_1F,rec,1952,335.965,149.56
01-Diagnostic_1F,rec,1953,195.621,93.7939
01-Diagnostic_1F,rec,1954,164.827,71.7965
01-Diagnostic_1F,rec,1955,157.724,65.2181
01-Diagnostic_1F,rec,1956,152.356,66.5011
01-Diagnostic_1F,rec,1957,214.597,89.819
01-Diagnostic_1F,rec,1958,284.022,95.3189
01-Diagnostic_1F,rec,1959,155.604,78.049
01-Diagnostic_1F,rec,1960,265.634,92.84
01-Diagnostic_1F,rec,1961,151.352,68.0293
01-Diagnostic_1F,rec,1962,129.427,56.0817
01-Diagnostic_1F,rec,1963,162.692,63.6162
01-Diagnostic_1F,rec,1964,134.724,56.3089
01-Diagnostic_1F,rec,1965,106.349,40.7005
01-Diagnostic_1F,rec,1966,79.6689,29.8035
01-Diagnostic_1F,rec,1967,70.5262,23.7164
01-Diagnostic_1F,rec,1968,125.774,20.3831
01-Diagnostic_1F,rec,1969,153.834,16.4214
01-Diagnostic_1F,rec,1970,164.798,18.7355
01-Diagnostic_1F,rec,1971,151.811,19.1696
01-Diagnostic_1F,rec,1972,56.9425,15.9858
01-Diagnostic_1F,rec,1973,234.849,30.2812
01-Diagnostic_1F,rec,1974,58.9226,20.5512
01-Diagnostic_1F,rec,1975,52.9058,19.9334
01-Diagnostic_1F,rec,1976,163.587,31.2047
01-Diagnostic_1F,rec,1977,113.892,31.7491
01-Diagnostic_1F,rec,1978,213.643,28.5865
01-Diagnostic_1F,rec,1979,115.203,24.819
01-Diagnostic_1F,rec,1980,193.178,20.3174
01-Diagnostic_1F,rec,1981,55.5852,15.2875
01-Diagnostic_1F,rec,1982,163.842,20.6211
01-Diagnostic_1F,rec,1983,82.3708,17.9495
01-Diagnostic_1F,rec,1984,94.3815,14.6267
01-Diagnostic_1F,rec,1985,31.8555,9.47787
01-Diagnostic_1F,rec,1986,78.701,19.7802
01-Diagnostic_1F,rec,1987,246.154,48.5657
01-Diagnostic_1F,rec,1988,81.9425,40.0006
01-Diagnostic_1F,rec,1989,83.1376,30.0965
01-Diagnostic_1F,rec,1990,100.876,31.3752
01-Diagnostic_1F,rec,1991,117.476,41.2824
01-Diagnostic_1F,rec,1992,145.504,47.3134
01-Diagnostic_1F,rec,1993,160.433,49.8891
01-Diagnostic_1F,rec,1994,126.822,41.3522
01-Diagnostic_1F,rec,1995,95.0317,34.0152
01-Diagnostic_1F,rec,1996,272.317,42.2848
01-Diagnostic_1F,rec,1997,168.829,37.2613
01-Diagnostic_1F,rec,1998,231.036,35.5683
01-Diagnostic_1F,rec,1999,197.522,28.4121
01-Diagnostic_1F,rec,2000,64.639,21.0545
01-Diagnostic_1F,rec,2001,260.747,33.5958
01-Diagnostic_1F,rec,2002,130.4,30.436
01-Diagnostic_1F,rec,2003,118.578,21.3266
01-Diagnostic_1F,rec,2004,116.704,20.6985
01-Diagnostic_1F,rec,2005,97.0597,21.5897
01-Diagnostic_1F,rec,2006,196.079,30.2442
01-Diagnostic_1F,rec,2007,99.0098,25.5591
01-Diagnostic_1F,rec,2008,99.479,24.3257
01-Diagnostic_1F,rec,2009,100.273,22.4274
01-Diagnostic_1F,rec,2010,102.811,18.7035
01-Diagnostic_1F,rec,2011,71.7786,15.5114
01-Diagnostic_1F,rec,2012,84.098,15.7662
01-Diagnostic_1F,rec,2013,120.064,16.9866
01-Diagnostic_1F,rec,2014,87.1532,15.7264
01-Diagnostic_1F,rec,2015,93.4101,16.9007
01-Diagnostic_1F,rec,2016,79.2436,16.2731
01-Diagnostic_1F,rec,2017,84.2975,15.4775
01-Diagnostic_1F,rec,2018,52.7728,12.4327
01-Diagnostic_1F,rec,2019,109.625,20.7832
01-Diagnostic_1F,rec,2020,180.982,40.3258
01-Diagnostic_1F,rec,2021,148.709,47.658
01-Diagnostic_1F,rec,2022,103.196,56.8928
