year,month,fleet,Nsamp,length,freq
2004,8,1,9.45579,20,0
2004,8,1,9.45579,25,0
2004,8,1,9.45579,30,0
2004,8,1,9.45579,35,0
2004,8,1,9.45579,40,0
2004,8,1,9.45579,45,0
2004,8,1,9.45579,50,0
2004,8,1,9.45579,55,0
2004,8,1,9.45579,60,0
2004,8,1,9.45579,65,0
2004,8,1,9.45579,70,0
2004,8,1,9.45579,75,0
2004,8,1,9.45579,80,0
2004,8,1,9.45579,85,0
2004,8,1,9.45579,90,0
2004,8,1,9.45579,95,0
2004,8,1,9.45579,100,0
2004,8,1,9.45579,105,0
2004,8,1,9.45579,110,0
2004,8,1,9.45579,115,0
2004,8,1,9.45579,120,0
2004,8,1,9.45579,125,0
2004,8,1,9.45579,130,0
2004,8,1,9.45579,135,0.50262
2004,8,1,9.45579,140,1.25655
2004,8,1,9.45579,145,0
2004,8,1,9.45579,150,0.25131
2004,8,1,9.45579,155,0.25131
2004,8,1,9.45579,160,0.25131
2004,8,1,9.45579,165,1.00524
2004,8,1,9.45579,170,0.50262
2004,8,1,9.45579,175,0.85716
2004,8,1,9.45579,180,1.27007
2004,8,1,9.45579,185,1.43168
2004,8,1,9.45579,190,0.561
2004,8,1,9.45579,195,0.81231
2004,8,1,9.45579,200,0
2004,8,1,9.45579,205,0.25131
2004,8,1,9.45579,210,0.25131
2004,8,1,9.45579,215,0
2004,8,1,9.45579,220,0
2004,8,1,9.45579,225,0
2004,8,1,9.45579,230,0
2004,8,1,9.45579,235,0
2004,8,1,9.45579,240,0
2004,8,1,9.45579,245,0
2004,8,1,9.45579,250,0
2004,8,1,9.45579,255,0
2004,8,1,9.45579,260,0
2004,8,1,9.45579,265,0
2004,8,1,9.45579,270,0
2004,8,1,9.45579,275,0
2004,8,1,9.45579,280,0
2004,8,1,9.45579,285,0
2004,8,1,9.45579,290,0
2004,8,1,9.45579,295,0
2004,8,1,9.45579,300,0
2004,8,1,9.45579,305,0
2004,8,1,9.45579,310,0
2004,8,1,9.45579,315,0
2004,8,1,9.45579,320,0
2004,8,1,9.45579,325,0
2004,8,1,9.45579,330,0
2016,2,1,8.82304,20,0
2016,2,1,8.82304,25,0
2016,2,1,8.82304,30,0
2016,2,1,8.82304,35,0
2016,2,1,8.82304,40,0
2016,2,1,8.82304,45,0
2016,2,1,8.82304,50,0
2016,2,1,8.82304,55,0
2016,2,1,8.82304,60,0
2016,2,1,8.82304,65,0
2016,2,1,8.82304,70,0
2016,2,1,8.82304,75,0
2016,2,1,8.82304,80,0
2016,2,1,8.82304,85,0
2016,2,1,8.82304,90,0
2016,2,1,8.82304,95,0
2016,2,1,8.82304,100,0
2016,2,1,8.82304,105,0
2016,2,1,8.82304,110,0
2016,2,1,8.82304,115,0
2016,2,1,8.82304,120,0
2016,2,1,8.82304,125,0
2016,2,1,8.82304,130,0
2016,2,1,8.82304,135,0.19181
2016,2,1,8.82304,140,0.19181
2016,2,1,8.82304,145,0.76722
2016,2,1,8.82304,150,0.57542
2016,2,1,8.82304,155,0.95903
2016,2,1,8.82304,160,2.49347
2016,2,1,8.82304,165,0.95903
2016,2,1,8.82304,170,0.76722
2016,2,1,8.82304,175,1.15083
2016,2,1,8.82304,180,0.19181
2016,2,1,8.82304,185,0.38361
2016,2,1,8.82304,190,0.19181
2016,2,1,8.82304,195,0
2016,2,1,8.82304,200,0
2016,2,1,8.82304,205,0
2016,2,1,8.82304,210,0
2016,2,1,8.82304,215,0
2016,2,1,8.82304,220,0
2016,2,1,8.82304,225,0
2016,2,1,8.82304,230,0
2016,2,1,8.82304,235,0
2016,2,1,8.82304,240,0
2016,2,1,8.82304,245,0
2016,2,1,8.82304,250,0
2016,2,1,8.82304,255,0
2016,2,1,8.82304,260,0
2016,2,1,8.82304,265,0
2016,2,1,8.82304,270,0
2016,2,1,8.82304,275,0
2016,2,1,8.82304,280,0
2016,2,1,8.82304,285,0
2016,2,1,8.82304,290,0
2016,2,1,8.82304,295,0
2016,2,1,8.82304,300,0
2016,2,1,8.82304,305,0
2016,2,1,8.82304,310,0
2016,2,1,8.82304,315,0
2016,2,1,8.82304,320,0
2016,2,1,8.82304,325,0
2016,2,1,8.82304,330,0
2016,11,1,9.95013,20,0
2016,11,1,9.95013,25,0
2016,11,1,9.95013,30,0
2016,11,1,9.95013,35,0
2016,11,1,9.95013,40,0
2016,11,1,9.95013,45,0
2016,11,1,9.95013,50,0
2016,11,1,9.95013,55,0
2016,11,1,9.95013,60,0
2016,11,1,9.95013,65,0
2016,11,1,9.95013,70,0
2016,11,1,9.95013,75,0
2016,11,1,9.95013,80,0
2016,11,1,9.95013,85,0.46483
2016,11,1,9.95013,90,0
2016,11,1,9.95013,95,0
2016,11,1,9.95013,100,0
2016,11,1,9.95013,105,0
2016,11,1,9.95013,110,0
2016,11,1,9.95013,115,0
2016,11,1,9.95013,120,0
2016,11,1,9.95013,125,0.46483
2016,11,1,9.95013,130,0
2016,11,1,9.95013,135,0.46483
2016,11,1,9.95013,140,0
2016,11,1,9.95013,145,0.46483
2016,11,1,9.95013,150,1.3945
2016,11,1,9.95013,155,0.92966
2016,11,1,9.95013,160,0.61561
2016,11,1,9.95013,165,0.61561
2016,11,1,9.95013,170,0.15078
2016,11,1,9.95013,175,1.69605
2016,11,1,9.95013,180,0.69098
2016,11,1,9.95013,185,0.30156
2016,11,1,9.95013,190,0.61561
2016,11,1,9.95013,195,0.15078
2016,11,1,9.95013,200,0.46483
2016,11,1,9.95013,205,0
2016,11,1,9.95013,210,0
2016,11,1,9.95013,215,0.46483
2016,11,1,9.95013,220,0
2016,11,1,9.95013,225,0
2016,11,1,9.95013,230,0
2016,11,1,9.95013,235,0
2016,11,1,9.95013,240,0
2016,11,1,9.95013,245,0
2016,11,1,9.95013,250,0
2016,11,1,9.95013,255,0
2016,11,1,9.95013,260,0
2016,11,1,9.95013,265,0
2016,11,1,9.95013,270,0
2016,11,1,9.95013,275,0
2016,11,1,9.95013,280,0
2016,11,1,9.95013,285,0
2016,11,1,9.95013,290,0
2016,11,1,9.95013,295,0
2016,11,1,9.95013,300,0
2016,11,1,9.95013,305,0
2016,11,1,9.95013,310,0
2016,11,1,9.95013,315,0
2016,11,1,9.95013,320,0
2016,11,1,9.95013,325,0
2016,11,1,9.95013,330,0
2018,8,1,11.395,20,0
2018,8,1,11.395,25,0
2018,8,1,11.395,30,0
2018,8,1,11.395,35,0
2018,8,1,11.395,40,0
2018,8,1,11.395,45,0
2018,8,1,11.395,50,0
2018,8,1,11.395,55,0
2018,8,1,11.395,60,0
2018,8,1,11.395,65,0
2018,8,1,11.395,70,0
2018,8,1,11.395,75,0
2018,8,1,11.395,80,0
2018,8,1,11.395,85,0
2018,8,1,11.395,90,0
2018,8,1,11.395,95,0
2018,8,1,11.395,100,0
2018,8,1,11.395,105,0
2018,8,1,11.395,110,0
2018,8,1,11.395,115,0
2018,8,1,11.395,120,0
2018,8,1,11.395,125,0
2018,8,1,11.395,130,0.18583
2018,8,1,11.395,135,0.84556
2018,8,1,11.395,140,0
2018,8,1,11.395,145,0
2018,8,1,11.395,150,0
2018,8,1,11.395,155,2.24297
2018,8,1,11.395,160,0.93566
2018,8,1,11.395,165,0.55186
2018,8,1,11.395,170,0.73206
2018,8,1,11.395,175,0.27593
2018,8,1,11.395,180,1.39741
2018,8,1,11.395,185,2.53667
2018,8,1,11.395,190,0.84556
2018,8,1,11.395,195,0
2018,8,1,11.395,200,0
2018,8,1,11.395,205,0.84556
2018,8,1,11.395,210,0
2018,8,1,11.395,215,0
2018,8,1,11.395,220,0
2018,8,1,11.395,225,0
2018,8,1,11.395,230,0
2018,8,1,11.395,235,0
2018,8,1,11.395,240,0
2018,8,1,11.395,245,0
2018,8,1,11.395,250,0
2018,8,1,11.395,255,0
2018,8,1,11.395,260,0
2018,8,1,11.395,265,0
2018,8,1,11.395,270,0
2018,8,1,11.395,275,0
2018,8,1,11.395,280,0
2018,8,1,11.395,285,0
2018,8,1,11.395,290,0
2018,8,1,11.395,295,0
2018,8,1,11.395,300,0
2018,8,1,11.395,305,0
2018,8,1,11.395,310,0
2018,8,1,11.395,315,0
2018,8,1,11.395,320,0
2018,8,1,11.395,325,0
2018,8,1,11.395,330,0
1991,8,2,108.64,20,0
1991,8,2,108.64,25,0
1991,8,2,108.64,30,0
1991,8,2,108.64,35,0
1991,8,2,108.64,40,0
1991,8,2,108.64,45,0
1991,8,2,108.64,50,0
1991,8,2,108.64,55,0
1991,8,2,108.64,60,0
1991,8,2,108.64,65,0
1991,8,2,108.64,70,0
1991,8,2,108.64,75,0
1991,8,2,108.64,80,0
1991,8,2,108.64,85,0
1991,8,2,108.64,90,0
1991,8,2,108.64,95,0
1991,8,2,108.64,100,0
1991,8,2,108.64,105,0.30665
1991,8,2,108.64,110,1.90501
1991,8,2,108.64,115,4.26345
1991,8,2,108.64,120,3.43828
1991,8,2,108.64,125,1.83002
1991,8,2,108.64,130,0.30665
1991,8,2,108.64,135,0
1991,8,2,108.64,140,0.91006
1991,8,2,108.64,145,0.91006
1991,8,2,108.64,150,2.73018
1991,8,2,108.64,155,0.30665
1991,8,2,108.64,160,3.12172
1991,8,2,108.64,165,3.65014
1991,8,2,108.64,170,3.87511
1991,8,2,108.64,175,5.70513
1991,8,2,108.64,180,12.0854
1991,8,2,108.64,185,12.0268
1991,8,2,108.64,190,18.6257
1991,8,2,108.64,195,9.88369
1991,8,2,108.64,200,9.28028
1991,8,2,108.64,205,4.65499
1991,8,2,108.64,210,2.74008
1991,8,2,108.64,215,2.74008
1991,8,2,108.64,220,1.52337
1991,8,2,108.64,225,0
1991,8,2,108.64,230,1.82012
1991,8,2,108.64,235,0
1991,8,2,108.64,240,0
1991,8,2,108.64,245,0
1991,8,2,108.64,250,0
1991,8,2,108.64,255,0
1991,8,2,108.64,260,0
1991,8,2,108.64,265,0
1991,8,2,108.64,270,0
1991,8,2,108.64,275,0
1991,8,2,108.64,280,0
1991,8,2,108.64,285,0
1991,8,2,108.64,290,0
1991,8,2,108.64,295,0
1991,8,2,108.64,300,0
1991,8,2,108.64,305,0
1991,8,2,108.64,310,0
1991,8,2,108.64,315,0
1991,8,2,108.64,320,0
1991,8,2,108.64,325,0
1991,8,2,108.64,330,0
1991,11,2,51.1215,20,0
1991,11,2,51.1215,25,0
1991,11,2,51.1215,30,0
1991,11,2,51.1215,35,0
1991,11,2,51.1215,40,0
1991,11,2,51.1215,45,0
1991,11,2,51.1215,50,0
1991,11,2,51.1215,55,0
1991,11,2,51.1215,60,0
1991,11,2,51.1215,65,0
1991,11,2,51.1215,70,0
