Fleet,Fleet_Name,Yr,Seas,Catch
1,F01_LL.JP.1,1952,1,0
1,F01_LL.JP.1,1952,2,0.13832
1,F01_LL.JP.1,1952,3,0.136538
1,F01_LL.JP.1,1952,4,0
1,F01_LL.JP.1,1953,1,4.52604
1,F01_LL.JP.1,1953,2,0.927462
1,F01_LL.JP.1,1953,3,1.52686
1,F01_LL.JP.1,1953,4,1.59866
1,F01_LL.JP.1,1954,1,11.7206
1,F01_LL.JP.1,1954,2,22.2336
1,F01_LL.JP.1,1954,3,17.5599
1,F01_LL.JP.1,1954,4,22.9558
1,F01_LL.JP.1,1955,1,14.3925
1,F01_LL.JP.1,1955,2,15.3027
1,F01_LL.JP.1,1955,3,12.3764
1,F01_LL.JP.1,1955,4,27.4811
1,F01_LL.JP.1,1956,1,9.26193
1,F01_LL.JP.1,1956,2,13.3264
1,F01_LL.JP.1,1956,3,7.41893
1,F01_LL.JP.1,1956,4,16.7029
1,F01_LL.JP.1,1957,1,8.07957
1,F01_LL.JP.1,1957,2,6.31523
1,F01_LL.JP.1,1957,3,14.9463
1,F01_LL.JP.1,1957,4,40.2687
1,F01_LL.JP.1,1958,1,16.4325
1,F01_LL.JP.1,1958,2,14.5379
1,F01_LL.JP.1,1958,3,36.2504
1,F01_LL.JP.1,1958,4,83.1072
1,F01_LL.JP.1,1959,1,12.3888
1,F01_LL.JP.1,1959,2,15.0594
1,F01_LL.JP.1,1959,3,30.8602
1,F01_LL.JP.1,1959,4,52.5412
1,F01_LL.JP.1,1960,1,12.5049
1,F01_LL.JP.1,1960,2,29.904
1,F01_LL.JP.1,1960,3,39.5773
1,F01_LL.JP.1,1960,4,58.3914
1,F01_LL.JP.1,1961,1,34.8886
1,F01_LL.JP.1,1961,2,25.2284
1,F01_LL.JP.1,1961,3,453.71
1,F01_LL.JP.1,1961,4,55.1819
1,F01_LL.JP.1,1962,1,97.8939
1,F01_LL.JP.1,1962,2,28.6179
1,F01_LL.JP.1,1962,3,65.5854
1,F01_LL.JP.1,1962,4,81.7076
1,F01_LL.JP.1,1963,1,94.2438
1,F01_LL.JP.1,1963,2,47.7027
1,F01_LL.JP.1,1963,3,68.5101
1,F01_LL.JP.1,1963,4,106.299
1,F01_LL.JP.1,1964,1,49.7255
1,F01_LL.JP.1,1964,2,34.7715
1,F01_LL.JP.1,1964,3,23.6723
1,F01_LL.JP.1,1964,4,27.6399
1,F01_LL.JP.1,1965,1,126.646
1,F01_LL.JP.1,1965,2,92.4415
1,F01_LL.JP.1,1965,3,43.5094
1,F01_LL.JP.1,1965,4,38.8913
1,F01_LL.JP.1,1966,1,38.0132
1,F01_LL.JP.1,1966,2,100.955
1,F01_LL.JP.1,1966,3,34.0758
1,F01_LL.JP.1,1966,4,35.8716
1,F01_LL.JP.1,1967,1,39.3712
1,F01_LL.JP.1,1967,2,29.9622
1,F01_LL.JP.1,1967,3,39.2224
1,F01_LL.JP.1,1967,4,25.0035
1,F01_LL.JP.1,1968,1,68.2951
1,F01_LL.JP.1,1968,2,37.6596
1,F01_LL.JP.1,1968,3,11.7585
1,F01_LL.JP.1,1968,4,15.6479
1,F01_LL.JP.1,1969,1,41.3617
1,F01_LL.JP.1,1969,2,20.6307
1,F01_LL.JP.1,1969,3,8.4094
1,F01_LL.JP.1,1969,4,29.2232
1,F01_LL.JP.1,1970,1,63.296
1,F01_LL.JP.1,1970,2,28.9709
