Fleet,Fleet_name,Yr,Obs,Exp,SE
18,S01_INDEX.1-4,1979,1.86281,1.33663,0.234648
18,S01_INDEX.1-4,1980,1.31391,1.51544,0.233986
18,S01_INDEX.1-4,1981,1.2559,1.3105,0.234071
18,S01_INDEX.1-4,1982,1.50646,1.09308,0.227822
18,S01_INDEX.1-4,1983,0.922278,1.06016,0.231749
18,S01_INDEX.1-4,1984,1.32673,0.962296,0.224789
18,S01_INDEX.1-4,1985,0.877509,0.770008,0.223391
18,S01_INDEX.1-4,1986,0.855618,0.61427,0.236722
18,S01_INDEX.1-4,1987,0.835362,0.846097,0.247282
18,S01_INDEX.1-4,1988,0.736157,1.01624,0.259066
18,S01_INDEX.1-4,1989,1.65752,0.877987,0.222085
18,S01_INDEX.1-4,1990,1.13159,0.791001,0.238091
18,S01_INDEX.1-4,1991,1.02708,0.819282,0.247142
18,S01_INDEX.1-4,1992,0.558306,0.977575,0.28586
18,S01_INDEX.1-4,1993,0.81207,1.11123,0.250366
18,S01_INDEX.1-4,1994,1.12053,1.0704,0.242599
18,S01_INDEX.1-4,1995,1.11373,0.981466,0.259911
18,S01_INDEX.1-4,1996,1.1907,1.1869,0.243336
18,S01_INDEX.1-4,1997,1.31626,1.448,0.249667
18,S01_INDEX.1-4,1998,1.99334,1.57072,0.230136
18,S01_INDEX.1-4,1999,1.18608,1.63453,0.270916
18,S01_INDEX.1-4,2000,0.788006,1.50789,0.285507
18,S01_INDEX.1-4,2001,0.727835,1.52374,0.281688
18,S01_INDEX.1-4,2002,0.803887,1.55235,0.263044
18,S01_INDEX.1-4,2003,1.3191,1.32151,0.246481
18,S01_INDEX.1-4,2004,1.26325,1.11767,0.250414
18,S01_INDEX.1-4,2005,1.04284,0.996927,0.265935
18,S01_INDEX.1-4,2006,0.740614,1.08735,0.276059
18,S01_INDEX.1-4,2007,0.829133,1.19013,0.265052
18,S01_INDEX.1-4,2008,1.047,1.10033,0.262906
18,S01_INDEX.1-4,2009,0.645173,0.994403,0.28146
18,S01_INDEX.1-4,2010,0.790723,0.899829,0.277783
18,S01_INDEX.1-4,2011,0.722675,0.752418,0.281696
18,S01_INDEX.1-4,2012,0.69595,0.616371,0.286002
18,S01_INDEX.1-4,2013,0.717588,0.662026,0.290356
18,S01_INDEX.1-4,2014,0.790042,0.658266,0.286348
18,S01_INDEX.1-4,2015,0.78514,0.635481,0.28772
18,S01_INDEX.1-4,2016,0.687733,0.643736,0.282161
18,S01_INDEX.1-4,2017,0.591417,0.650261,0.268582
18,S01_INDEX.1-4,2018,0.724244,0.590673,0.278222
18,S01_INDEX.1-4,2019,0.794833,0.558222,0.263437
18,S01_INDEX.1-4,2020,0.742562,0.760622,0.273847
18,S01_INDEX.1-4,2021,1.23811,1.0139,0.258985
18,S01_INDEX.1-4,2022,0.912191,1.14573,0.285305
19,S02_INDEX.NZ,1975,0.4301,1.55903,0.68711
19,S02_INDEX.NZ,1976,0.5148,1.47424,0.51124
19,S02_INDEX.NZ,1977,0.9168,1.24388,0.30655
19,S02_INDEX.NZ,1978,1.3574,1.35215,0.34403
19,S02_INDEX.NZ,1979,1.4161,1.36521,0.30293
19,S02_INDEX.NZ,1980,1.8821,1.94779,0.31479
19,S02_INDEX.NZ,1981,1.2545,1.79656,0.32994
19,S02_INDEX.NZ,1982,1.6627,1.52577,0.33197
19,S02_INDEX.NZ,1983,1.1889,1.25457,0.32349
19,S02_INDEX.NZ,1984,0.8902,1.29354,0.30454
19,S02_INDEX.NZ,1985,0.4545,1.19371,0.33471
19,S02_INDEX.NZ,1986,0.5622,0.98663,0.32797
19,S02_INDEX.NZ,1987,0.4426,0.590239,0.3481
19,S02_INDEX.NZ,1988,0.8367,0.478222,0.29082
19,S02_INDEX.NZ,1989,1.4189,0.994519,0.27103
19,S02_INDEX.NZ,1990,1.189,0.987229,0.27416
19,S02_INDEX.NZ,1991,0.7537,0.83116,0.29046
19,S02_INDEX.NZ,1992,0.9569,0.953112,0.28041
19,S02_INDEX.NZ,1993,1.0522,1.02653,0.28027
19,S02_INDEX.NZ,1994,1.9806,0.969532,0.27013
19,S02_INDEX.NZ,1995,2.0444,1.0563,0.27404
19,S02_INDEX.NZ,1996,1.5787,1.07018,0.27653
