Area,Sex,Yr,Age,N
1,1,1952,0,335.965
1,1,1953,0,195.621
1,1,1954,0,164.827
1,1,1955,0,157.724
1,1,1956,0,152.356
1,1,1957,0,214.597
1,1,1958,0,284.022
1,1,1959,0,155.604
1,1,1960,0,265.634
1,1,1961,0,151.352
1,1,1962,0,129.427
1,1,1963,0,162.692
1,1,1964,0,134.724
1,1,1965,0,106.349
1,1,1966,0,79.6689
1,1,1967,0,70.5262
1,1,1968,0,125.774
1,1,1969,0,153.834
1,1,1970,0,164.798
1,1,1971,0,151.811
1,1,1972,0,56.9425
1,1,1973,0,234.849
1,1,1974,0,58.9226
1,1,1975,0,52.9058
1,1,1976,0,163.587
1,1,1977,0,113.892
1,1,1978,0,213.643
1,1,1979,0,115.203
1,1,1980,0,193.178
1,1,1981,0,55.5852
1,1,1982,0,163.842
1,1,1983,0,82.3708
1,1,1984,0,94.3815
1,1,1985,0,31.8555
1,1,1986,0,78.701
1,1,1987,0,246.154
1,1,1988,0,81.9425
1,1,1989,0,83.1376
1,1,1990,0,100.876
1,1,1991,0,117.476
1,1,1992,0,145.504
1,1,1993,0,160.433
1,1,1994,0,126.822
1,1,1995,0,95.0317
1,1,1996,0,272.317
1,1,1997,0,168.829
1,1,1998,0,231.036
1,1,1999,0,197.522
1,1,2000,0,64.639
1,1,2001,0,260.747
1,1,2002,0,130.4
1,1,2003,0,118.578
1,1,2004,0,116.704
1,1,2005,0,97.0597
1,1,2006,0,196.079
1,1,2007,0,99.0098
1,1,2008,0,99.479
1,1,2009,0,100.273
1,1,2010,0,102.811
1,1,2011,0,71.7786
1,1,2012,0,84.098
1,1,2013,0,120.064
1,1,2014,0,87.1532
1,1,2015,0,93.4101
1,1,2016,0,79.2436
1,1,2017,0,84.2975
1,1,2018,0,52.7728
1,1,2019,0,109.625
1,1,2020,0,180.982
1,1,2021,0,148.709
1,1,2022,0,103.196
1,1,1952,1,139.898
1,1,1953,1,180.85
1,1,1954,1,105.298
1,1,1955,1,88.6801
1,1,1956,1,84.7889
1,1,1957,1,81.8915
1,1,1958,1,115.358
1,1,1959,1,152.328
1,1,1960,1,83.6342
1,1,1961,1,142.744
1,1,1962,1,81.0286
1,1,1963,1,69.413
1,1,1964,1,87.1241
1,1,1965,1,72.3674
1,1,1966,1,57.0326
1,1,1967,1,42.7439
1,1,1968,1,37.7535
1,1,1969,1,67.5021
1,1,1970,1,82.5418
1,1,1971,1,87.8808
1,1,1972,1,81.3862
1,1,1973,1,30.5374
1,1,1974,1,126.046
1,1,1975,1,31.5845
1,1,1976,1,28.174
1,1,1977,1,87.0425
1,1,1978,1,60.9805
1,1,1979,1,112.873
1,1,1980,1,61.462
1,1,1981,1,103.541
1,1,1982,1,29.6313
1,1,1983,1,87.6664
1,1,1984,1,43.9527
1,1,1985,1,50.4265
1,1,1986,1,16.9625
1,1,1987,1,41.6596
1,1,1988,1,130.546
1,1,1989,1,43.4632
1,1,1990,1,44.2287
1,1,1991,1,53.7594
1,1,1992,1,62.6244
1,1,1993,1,76.8456
1,1,1994,1,85.3303
1,1,1995,1,67.2129
1,1,1996,1,50.5052
1,1,1997,1,145.08
1,1,1998,1,89.8711
1,1,1999,1,123.283
1,1,2000,1,104.957
1,1,2001,1,34.5965
1,1,2002,1,139.36
1,1,2003,1,69.3482
1,1,2004,1,63.1494
1,1,2005,1,61.7506
1,1,2006,1,51.5134
1,1,2007,1,104.035
1,1,2008,1,52.6604
1,1,2009,1,52.8788
1,1,2010,1,52.8053
1,1,2011,1,54.2875
1,1,2012,1,37.7736
1,1,2013,1,44.035
1,1,2014,1,63.3095
1,1,2015,1,45.4005
1,1,2016,1,48.9751
1,1,2017,1,41.9058
1,1,2018,1,44.7778
1,1,2019,1,27.5493
1,1,2020,1,57.8346
1,1,2021,1,95.7891
1,1,2022,1,79.0007
1,1,1952,2,68.2516
1,1,1953,2,89.6358
1,1,1954,2,115.271
1,1,1955,2,65.2471
1,1,1956,2,55.3156
1,1,1957,2,52.7318
1,1,1958,2,51.1302
1,1,1959,2,69.7046
1,1,1960,2,94.5711
1,1,1961,2,51.9522
1,1,1962,2,85.0292
1,1,1963,2,48.8436
1,1,1964,2,41.1077
1,1,1965,2,53.7127
1,1,1966,2,43.6283
1,1,1967,2,34.3829
1,1,1968,2,25.5648
1,1,1969,2,23.0547
1,1,1970,2,41.4157
1,1,1971,2,46.7506
1,1,1972,2,50.6666
1,1,1973,2,48.4921
1,1,1974,2,18.2378
1,1,1975,2,75.2658
1,1,1976,2,18.5813
1,1,1977,2,16.2717
1,1,1978,2,52.6057
1,1,1979,2,33.3382
1,1,1980,2,66.2733
1,1,1981,2,37.3599
1,1,1982,2,59.1909
1,1,1983,2,17.283
1,1,1984,2,52.0488
1,1,1985,2,25.9098
1,1,1986,2,28.9645
1,1,1987,2,9.39176
1,1,1988,2,22.8421
1,1,1989,2,72.2912
1,1,1990,2,24.3549
1,1,1991,2,25.2341
1,1,1992,2,30.8814
1,1,1993,2,35.0809
1,1,1994,2,44.243
1,1,1995,2,46.486
1,1,1996,2,38.2526
1,1,1997,2,29.0167
1,1,1998,2,83.3306
1,1,1999,2,51.2824
1,1,2000,2,69.3565
1,1,2001,2,61.5272
1,1,2002,2,20.2123
1,1,2003,2,79.1641
1,1,2004,2,38.8861
1,1,2005,2,34.2486
1,1,2006,2,34.4385
1,1,2007,2,28.9758
1,1,2008,2,59.7826
1,1,2009,2,29.9528
1,1,2010,2,28.764
