Fleet,Length,Sel
1,5.5,1.71654e-10
2,5.5,1.65782e-10
3,5.5,1.6534e-10
4,5.5,1.66136e-10
5,5.5,1.66136e-10
6,5.5,1.66867e-10
7,5.5,1.65915e-10
8,5.5,1.65915e-10
9,5.5,1.65608e-10
10,5.5,3.40531e-14
11,5.5,1.71654e-10
12,5.5,1.65782e-10
13,5.5,1.6534e-10
14,5.5,1.66136e-10
15,5.5,1.65782e-10
16,5.5,1.65419e-10
17,5.5,3.05184e-10
18,5.5,7.32959e-06
19,5.5,1.67421e-10
20,5.5,1.66867e-10
1,6.5,2.39748e-10
2,6.5,2.31547e-10
3,6.5,2.3093e-10
4,6.5,2.32042e-10
5,6.5,2.32042e-10
6,6.5,2.33062e-10
7,6.5,2.31732e-10
8,6.5,2.31732e-10
9,6.5,2.31304e-10
10,6.5,3.97787e-14
11,6.5,2.39748e-10
12,6.5,2.31547e-10
13,6.5,2.3093e-10
14,6.5,2.32042e-10
15,6.5,2.31547e-10
16,6.5,2.31039e-10
17,6.5,4.26249e-10
18,6.5,1.02372e-05
19,6.5,2.33836e-10
20,6.5,2.33062e-10
1,7.5,3.19191e-10
2,7.5,3.08272e-10
3,7.5,3.07451e-10
4,7.5,3.08931e-10
5,7.5,3.08931e-10
6,7.5,3.1029e-10
7,7.5,3.08519e-10
8,7.5,3.08519e-10
9,7.5,3.07949e-10
10,7.5,4.6467e-14
11,7.5,3.19191e-10
12,7.5,3.08272e-10
13,7.5,3.07451e-10
14,7.5,3.08931e-10
15,7.5,3.08272e-10
16,7.5,3.07597e-10
17,7.5,5.67491e-10
18,7.5,1.36294e-05
19,7.5,3.11321e-10
20,7.5,3.1029e-10
1,8.5,4.09983e-10
2,8.5,3.95958e-10
3,8.5,3.94904e-10
4,8.5,3.96805e-10
5,8.5,3.96805e-10
6,8.5,3.9855e-10
7,8.5,3.96276e-10
8,8.5,3.96276e-10
9,8.5,3.95544e-10
10,8.5,5.42799e-14
11,8.5,4.09983e-10
