Year,Rec,Catch,TB,SB,F,SB_SBmsy,SB_SBF0,F_Fmsy
1952,336,  73,31728,20504,0.00,7.93,1.00,0.00
1953,196,1390,31202,19594,0.06,7.58,1.00,0.14
1954,165,7373,28602,17991,0.36,6.96,0.94,0.83
1955,158,3158,20253,12229,0.21,4.73,0.64,0.48
1956,152,2471,17060,10125,0.20,3.92,0.55,0.46
1957,215,2178,15359, 8449,0.20,3.27,0.50,0.47
1958,284,3419,15249, 7168,0.38,2.77,0.47,0.88
1959,156,2510,14176, 5445,0.28,2.11,0.38,0.63
1960,266,2580,14530, 5514,0.25,2.13,0.39,0.57
1961,151,3889,14449, 6007,0.45,2.32,0.40,1.03
1962,129,3094,12428, 5045,0.36,1.95,0.34,0.81
1963,163,3192,11066, 4886,0.46,1.89,0.32,1.06
1964,135,1615, 9584, 3918,0.26,1.52,0.27,0.59
1965,106,2104, 9478, 3920,0.32,1.52,0.28,0.74
1966, 80,2428, 8459, 3786,0.43,1.47,0.29,0.98
1967, 71,1466, 6858, 3160,0.30,1.22,0.25,0.69
1968,126,1227, 6445, 2955,0.29,1.14,0.26,0.66
1969,154,1231, 6858, 2632,0.31,1.02,0.26,0.71
1970,165,2760, 7812, 2432,0.69,0.94,0.26,1.59
1971,152,2672, 7564, 1874,0.69,0.73,0.20,1.59
1972, 57,2317, 6885, 1804,0.55,0.70,0.18,1.26
1973,235,2298, 7069, 2058,0.56,0.80,0.19,1.28
1974, 59,1888, 6943, 1909,0.59,0.74,0.17,1.35
1975, 53,1673, 6477, 1910,0.31,0.74,0.17,0.71
1976,164,1679, 6329, 2685,0.42,1.04,0.23,0.95
1977,114, 977, 6385, 2268,0.27,0.88,0.20,0.62
1978,214,2163, 7808, 2294,0.46,0.89,0.23,1.05
1979,115,1916, 8040, 2316,0.42,0.90,0.23,0.97
1980,193,1401, 8675, 2522,0.23,0.98,0.24,0.53
1981, 56,2921, 9041, 3405,0.53,1.32,0.30,1.22
1982,164,2849, 7849, 2949,0.55,1.14,0.25,1.27
1983, 82,1605, 6660, 2380,0.42,0.92,0.20,0.96
1984, 94,1818, 6504, 2232,0.40,0.86,0.19,0.91
1985, 32,1814, 5606, 2313,0.49,0.90,0.21,1.13
1986, 79,1572, 4562, 1979,0.51,0.77,0.19,1.18
1987,246,1419, 5074, 1539,0.70,0.60,0.16,1.60
1988, 82,1772, 6037, 1015,0.68,0.39,0.12,1.56
1989, 83,2566, 6216, 1317,0.62,0.51,0.15,1.42
1990,101,1805, 5313, 1756,0.59,0.68,0.17,1.35
1991,117,1438, 5149, 1554,0.50,0.60,0.14,1.15
1992,146,1330, 5712, 1483,0.38,0.57,0.14,0.87
1993,160,1650, 6717, 1752,0.43,0.68,0.17,0.97
1994,127,2758, 7376, 1989,0.68,0.77,0.19,1.55
1995, 95,2221, 6627, 1839,0.53,0.71,0.16,1.22
1996,272,2032, 7282, 1960,0.52,0.76,0.16,1.18
1997,169,2126, 8522, 1900,0.52,0.74,0.16,1.19
1998,231,3202, 9925, 2191,0.54,0.85,0.18,1.24
1999,198,3016,10281, 2695,0.52,1.04,0.20,1.18
2000, 65,2542, 9667, 2948,0.39,1.14,0.20,0.89
2001,261,2351, 9689, 3511,0.37,1.36,0.22,0.84
2002,130,2376, 9797, 3521,0.43,1.36,0.22,0.99
2003,119,3157, 9451, 3186,0.51,1.23,0.21,1.16
2004,117,2679, 8026, 3072,0.54,1.19,0.21,1.23
2005, 97,2030, 6812, 2585,0.48,1.00,0.18,1.09
2006,196,1749, 6829, 2258,0.43,0.87,0.17,0.99
2007, 99,1634, 7160, 2111,0.39,0.82,0.17,0.89
2008, 99,1981, 7252, 2307,0.39,0.89,0.20,0.89
2009,100,1856, 6713, 2626,0.41,1.02,0.22,0.95
2010,103,1821, 6187, 2439,0.46,0.94,0.21,1.06
2011, 72,2030, 5548, 2062,0.60,0.80,0.19,1.38
2012, 84,1927, 4686, 1618,0.71,0.63,0.16,1.62
2013,120,1319, 4252, 1215,0.57,0.47,0.12,1.30
2014, 87,1829, 4528, 1097,0.76,0.42,0.12,1.74
2015, 93,1663, 4279,  995,0.69,0.38,0.11,1.58
2016, 79,1255, 4069, 1018,0.53,0.39,0.11,1.21
2017, 84,1230, 4182, 1134,0.49,0.44,0.12,1.12
2018, 53,1507, 4056, 1254,0.61,0.49,0.13,1.39
2019,110,1396, 3817, 1148,0.68,0.44,0.12,1.55
2020,181,1333, 4502,  937,0.70,0.36,0.10,1.61
2021,149,1466, 5756,  872,0.51,0.34,0.10,1.17
2022,103,1386, 6627, 1362,0.32,0.53,0.14,0.73
2023,142,   0, 7318, 2276,0.35,0.88,0.11,0.80
