id,Fleet,Fleet_name,Yr.S,Used,Kind,Sex,Exp_Mean
01-Diagnostic_1F,1,F01_LL.JP.1,1971.125,yes,SIZE,1,56.1931033665793
01-Diagnostic_1F,2,F02_LL.JP.2,1970.375,yes,SIZE,1,89.3439538912085
01-Diagnostic_1F,2,F02_LL.JP.2,1970.5,yes,SIZE,1,87.3130230570298
01-Diagnostic_1F,2,F02_LL.JP.2,1971.375,yes,SIZE,1,84.2538019300818
01-Diagnostic_1F,2,F02_LL.JP.2,1971.5,yes,SIZE,1,83.4159706653445
01-Diagnostic_1F,2,F02_LL.JP.2,1972.125,yes,SIZE,1,82.6317247018358
01-Diagnostic_1F,2,F02_LL.JP.2,1972.375,yes,SIZE,1,83.272683830914
01-Diagnostic_1F,2,F02_LL.JP.2,1972.5,yes,SIZE,1,83.4380401973776
01-Diagnostic_1F,2,F02_LL.JP.2,1973.375,yes,SIZE,1,85.4673330256726
01-Diagnostic_1F,2,F02_LL.JP.2,1973.5,yes,SIZE,1,86.3712649316701
01-Diagnostic_1F,2,F02_LL.JP.2,1974.375,yes,SIZE,1,86.1602640221195
01-Diagnostic_1F,2,F02_LL.JP.2,1974.5,yes,SIZE,1,84.4132181597023
01-Diagnostic_1F,2,F02_LL.JP.2,1980.375,yes,SIZE,1,86.7008540021537
01-Diagnostic_1F,2,F02_LL.JP.2,1980.5,yes,SIZE,1,87.3470459400538
01-Diagnostic_1F,2,F02_LL.JP.2,1981.375,yes,SIZE,1,89.1048276429048
01-Diagnostic_1F,2,F02_LL.JP.2,1981.5,yes,SIZE,1,88.735323644997
01-Diagnostic_1F,2,F02_LL.JP.2,1982.125,yes,SIZE,1,88.0134679754478
01-Diagnostic_1F,2,F02_LL.JP.2,1982.375,yes,SIZE,1,88.2943245741944
01-Diagnostic_1F,2,F02_LL.JP.2,1982.5,yes,SIZE,1,88.6274399631567
01-Diagnostic_1F,2,F02_LL.JP.2,1983.375,yes,SIZE,1,89.8149359332336
01-Diagnostic_1F,2,F02_LL.JP.2,1983.5,yes,SIZE,1,89.1595892621801
01-Diagnostic_1F,2,F02_LL.JP.2,1984.375,yes,SIZE,1,87.6122140570626
01-Diagnostic_1F,2,F02_LL.JP.2,1985.375,yes,SIZE,1,89.5992135277269
01-Diagnostic_1F,2,F02_LL.JP.2,1985.5,yes,SIZE,1,89.6107762987547
01-Diagnostic_1F,2,F02_LL.JP.2,1986.375,yes,SIZE,1,90.5691487408776
01-Diagnostic_1F,2,F02_LL.JP.2,1986.5,yes,SIZE,1,91.1459047359889
01-Diagnostic_1F,2,F02_LL.JP.2,1987.375,yes,SIZE,1,92.1238196969749
01-Diagnostic_1F,3,F03_LL.JP.3,1970.125,yes,SIZE,1,89.4332456332697
01-Diagnostic_1F,3,F03_LL.JP.3,1970.25,yes,SIZE,1,88.4436830856788
01-Diagnostic_1F,3,F03_LL.JP.3,1970.5,yes,SIZE,1,85.0700070872491
01-Diagnostic_1F,3,F03_LL.JP.3,1971.125,yes,SIZE,1,82.9840449163623
01-Diagnostic_1F,3,F03_LL.JP.3,1971.25,yes,SIZE,1,82.2865742527616
01-Diagnostic_1F,3,F03_LL.JP.3,1971.375,yes,SIZE,1,81.9137451584775
01-Diagnostic_1F,3,F03_LL.JP.3,1972.125,yes,SIZE,1,80.3517279295596
01-Diagnostic_1F,3,F03_LL.JP.3,1972.25,yes,SIZE,1,80.4664390593117
01-Diagnostic_1F,3,F03_LL.JP.3,1973.125,yes,SIZE,1,81.6511019626563
01-Diagnostic_1F,3,F03_LL.JP.3,1973.25,yes,SIZE,1,82.6662624253568
