id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
01-Diagnostic_1F,L_at_Amin_Fem_GP_1,94.5558,5.99621,7,5,100,94.7832,OK,OK
01-Diagnostic_1F,L_at_Amax_Fem_GP_1,215.625,1.219,6,50,600,215.686,OK,OK
01-Diagnostic_1F,VonBert_K_Fem_GP_1,0.439048,0.0273564,8,0.01,0.99,0.438985,OK,OK
01-Diagnostic_1F,SR_LN(R0),5.19637,0.0279867,1,2,20,5.19497,OK,OK
01-Diagnostic_1F,F_fleet_15_YR_1952_s_4,0.000558902,0.000153616,5,0,10,0.05,act,CHECK
01-Diagnostic_1F,F_fleet_15_YR_1953_s_1,0.00013119,2.18423e-05,5,0,10,0.05,act,CHECK
01-Diagnostic_1F,F_fleet_15_YR_1953_s_3,0.00270429,0.000712342,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1953_s_4,0.28874,0.0748805,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1954_s_1,0.0366965,0.00553128,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1954_s_2,0.00132999,0.000192775,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1954_s_3,0.370053,0.0933165,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1954_s_4,1.61925,0.395755,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1955_s_1,0.058359,0.0100853,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1955_s_2,0.00382656,0.000640809,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1955_s_3,0.307832,0.0816365,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1955_s_4,0.663727,0.17539,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1956_s_1,0.0293527,0.00515874,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1956_s_2,0.00535549,0.000911643,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1956_s_3,0.194538,0.0521625,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1956_s_4,0.701215,0.185987,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1957_s_1,0.0106095,0.00190007,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1957_s_2,0.00469363,0.000811922,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1957_s_3,0.169523,0.0457376,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1957_s_4,0.858664,0.227562,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1958_s_1,0.00727191,0.00131374,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1958_s_2,0.00328186,0.000570786,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1958_s_3,0.406198,0.109256,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1958_s_4,1.46716,0.390906,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1959_s_1,0.0371861,0.00745784,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1959_s_2,0.0429139,0.00836267,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1959_s_3,0.71158,0.20213,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1959_s_4,0.894529,0.261472,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1960_s_1,0.0149444,0.00318877,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1960_s_2,0.0489388,0.00992017,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1960_s_3,0.792422,0.227806,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1960_s_4,0.751068,0.222319,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1961_s_1,0.00448457,0.000973374,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1961_s_2,0.032793,0.00678656,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1961_s_3,0.953224,0.272567,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1961_s_4,1.36548,0.400169,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1962_s_1,0.0686815,0.0152078,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1962_s_2,0.0509348,0.0103828,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1962_s_3,0.56986,0.162123,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1962_s_4,1.2656,0.358898,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1963_s_1,0.0265985,0.00563122,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1963_s_2,0.0804051,0.0162566,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1963_s_3,0.224171,0.064753,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1963_s_4,1.66182,0.469095,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1964_s_1,0.106384,0.0249444,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1964_s_2,0.0490936,0.0111797,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1964_s_3,0.369435,0.113508,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1964_s_4,0.602193,0.185691,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1965_s_1,0.0505469,0.0114116,5,0,10,0.05,act,OK
01-Diagnostic_1F,F_fleet_15_YR_1965_s_2,0.0492366,0.0105736,5,0,10,0.05,act,OK
