"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"L_at_Amin_Fem_GP_1" 1 "L_at_Amin_Fem_GP_1" 94.6198 1 7 5 100 94.7832 94.7832 "OK" 5.9588 1.29577e-08 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"L_at_Amax_Fem_GP_1" 2 "L_at_Amax_Fem_GP_1" 215.648 2 6 50 600 215.686 215.686 "OK" 1.21785 -3.63678e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"VonBert_K_Fem_GP_1" 3 "VonBert_K_Fem_GP_1" 0.439101 3 8 0.01 0.99 0.438985 0.438985 "OK" 0.0273365 7.37e-09 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD_young_Fem_GP_1" 4 "SD_young_Fem_GP_1" 9.9314 NA -2 0.01 20 9.9314 9.9314 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD_old_Fem_GP_1" 5 "SD_old_Fem_GP_1" 11.0517 NA -3 0.01 20 11.0517 11.0517 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Wtlen_1_Fem_GP_1" 6 "Wtlen_1_Fem_GP_1" 5.39942e-07 NA -3 -3 3 5.39942e-07 5.39942e-07 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Wtlen_2_Fem_GP_1" 7 "Wtlen_2_Fem_GP_1" 3.58378 NA -3 -3 5 3.58378 3.58378 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mat50%_Fem_GP_1" 8 "Mat50%_Fem_GP_1" 181.205 NA -3 1 300 181.205 181.205 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mat_slope_Fem_GP_1" 9 "Mat_slope_Fem_GP_1" -0.197458 NA -3 -200 3 -0.197458 -0.197458 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Eggs_scalar_Fem_GP_1" 10 "Eggs_scalar_Fem_GP_1" 1 NA -3 -3 20 1 1 NA NA NA "Normal" 1 0.5 0 1 1 1 -2.77 -0.7 1.6 3.9 6.2 8.5 10.8 13.1 15.4 17.7 19.77 0 0 0 28.4258 5.78 0.72 16.82 54.08 112.5 192.08 292.82 414.72 557.78 704.626
