id,type,yr,Value,StdDev
01-Diagnostic_1F,ssb,1952,20504,3751.96
01-Diagnostic_1F,ssb,1953,19594,3073.88
01-Diagnostic_1F,ssb,1954,17991.1,2509.12
01-Diagnostic_1F,ssb,1955,12229.2,1968.49
01-Diagnostic_1F,ssb,1956,10124.7,1679.86
01-Diagnostic_1F,ssb,1957,8449.45,1442.92
01-Diagnostic_1F,ssb,1958,7167.85,1244.17
01-Diagnostic_1F,ssb,1959,5444.9,1057.23
01-Diagnostic_1F,ssb,1960,5513.71,1147.84
01-Diagnostic_1F,ssb,1961,6007.41,1271.25
01-Diagnostic_1F,ssb,1962,5045.14,1131.69
01-Diagnostic_1F,ssb,1963,4885.78,1018.16
01-Diagnostic_1F,ssb,1964,3917.83,897.572
01-Diagnostic_1F,ssb,1965,3920.24,880.412
01-Diagnostic_1F,ssb,1966,3786.13,796.677
01-Diagnostic_1F,ssb,1967,3160.11,641.226
01-Diagnostic_1F,ssb,1968,2954.93,492.917
01-Diagnostic_1F,ssb,1969,2632.5,351.166
01-Diagnostic_1F,ssb,1970,2431.87,267.414
01-Diagnostic_1F,ssb,1971,1873.85,192.931
01-Diagnostic_1F,ssb,1972,1804.43,205.407
01-Diagnostic_1F,ssb,1973,2057.57,249.717
01-Diagnostic_1F,ssb,1974,1908.94,260.411
01-Diagnostic_1F,ssb,1975,1909.99,300.022
01-Diagnostic_1F,ssb,1976,2685.26,366.43
01-Diagnostic_1F,ssb,1977,2267.73,346.851
01-Diagnostic_1F,ssb,1978,2293.76,324.153
01-Diagnostic_1F,ssb,1979,2316.04,297.453
01-Diagnostic_1F,ssb,1980,2521.63,305.773
01-Diagnostic_1F,ssb,1981,3404.77,308.37
01-Diagnostic_1F,ssb,1982,2949.39,277.012
01-Diagnostic_1F,ssb,1983,2379.78,262.066
01-Diagnostic_1F,ssb,1984,2231.91,252.948
01-Diagnostic_1F,ssb,1985,2313.06,249.41
01-Diagnostic_1F,ssb,1986,1978.62,228.215
01-Diagnostic_1F,ssb,1987,1539.04,206.995
01-Diagnostic_1F,ssb,1988,1015.28,210.636
01-Diagnostic_1F,ssb,1989,1316.75,276.731
01-Diagnostic_1F,ssb,1990,1756.42,400.646
01-Diagnostic_1F,ssb,1991,1553.94,303.932
01-Diagnostic_1F,ssb,1992,1483.25,315.633
01-Diagnostic_1F,ssb,1993,1751.98,378.977
01-Diagnostic_1F,ssb,1994,1988.89,466.31
01-Diagnostic_1F,ssb,1995,1839.21,419.833
01-Diagnostic_1F,ssb,1996,1960.38,394.227
01-Diagnostic_1F,ssb,1997,1900.43,385.622
01-Diagnostic_1F,ssb,1998,2190.98,381.44
01-Diagnostic_1F,ssb,1999,2695.38,425.69
01-Diagnostic_1F,ssb,2000,2947.74,461.495
01-Diagnostic_1F,ssb,2001,3510.75,516.165
01-Diagnostic_1F,ssb,2002,3521.22,502.276
01-Diagnostic_1F,ssb,2003,3185.55,429.036
01-Diagnostic_1F,ssb,2004,3071.95,387.592
01-Diagnostic_1F,ssb,2005,2585.17,344.562
01-Diagnostic_1F,ssb,2006,2258.28,342.284
01-Diagnostic_1F,ssb,2007,2110.86,354.917
01-Diagnostic_1F,ssb,2008,2307.29,363.916
01-Diagnostic_1F,ssb,2009,2625.78,399.607
01-Diagnostic_1F,ssb,2010,2438.51,352.323
01-Diagnostic_1F,ssb,2011,2062.2,283.899
01-Diagnostic_1F,ssb,2012,1618.04,236.058
01-Diagnostic_1F,ssb,2013,1214.59,199.488
01-Diagnostic_1F,ssb,2014,1096.8,183.973
01-Diagnostic_1F,ssb,2015,994.749,164.82
01-Diagnostic_1F,ssb,2016,1018.07,179.123
01-Diagnostic_1F,ssb,2017,1134.31,197.894
01-Diagnostic_1F,ssb,2018,1253.9,215.627
01-Diagnostic_1F,ssb,2019,1147.61,196.542
01-Diagnostic_1F,ssb,2020,937.397,185.299
01-Diagnostic_1F,ssb,2021,872.264,211.563
01-Diagnostic_1F,ssb,2022,1361.84,353.325
